用户ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,cnt_buy,cnt_fav,cnt_pv,pv_to_buy_rate,fav_to_buy_rate,converted,fav_category,avg_price,category_diversity,active_days,peak_hour,night_buy_pct,weekend_pct,fav_category_code
689015,19.0,2.0,10654.54,1.0,4.947812804955662,4.0,9.947812804955662,2,0,0,2.0,2.0,1,家居用品,5327.27,2.0,2,23,0.5,0.0,0
489522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,11,0.0,0.0,3
199634,364.0,1.0,371.99,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,371.99,1.0,1,21,0.0,0.0,0
807662,364.0,1.0,12768.16,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,12768.16,1.0,1,23,1.0,0.0,4
569974,364.0,1.0,5027.32,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,5027.32,1.0,1,20,0.0,0.0,1
617308,364.0,1.0,264.1,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,264.1,1.0,1,10,0.0,0.0,2
272554,364.0,1.0,1570.6,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1570.6,1.0,1,12,0.0,0.0,5
236626,364.0,1.0,380.32,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,380.32,1.0,1,16,0.0,0.0,0
435421,364.0,1.0,16899.21,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,16899.21,1.0,1,9,0.0,0.0,4
129795,364.0,1.0,144.61,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,144.61,1.0,1,11,0.0,0.0,2
875849,364.0,1.0,15641.15,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,15641.15,1.0,1,16,0.0,0.0,4
493916,364.0,1.0,3313.33,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,3313.33,1.0,1,6,0.0,0.0,1
551741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0,未知,0.0,0.0,2,18,0.0,0.0,3
203783,364.0,1.0,795.33,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,795.33,1.0,1,17,0.0,0.0,5
670841,364.0,1.0,152.22,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,152.22,1.0,1,21,0.0,0.0,2
509832,364.0,1.0,3089.17,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家居用品,3089.17,1.0,1,1,1.0,0.0,0
239550,364.0,1.0,1095.55,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,1095.55,1.0,1,10,0.0,0.0,1
617103,364.0,1.0,220.81,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,220.81,1.0,1,20,0.0,0.0,2
166999,364.0,1.0,5669.81,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,5669.81,1.0,1,13,0.0,0.0,4
671170,364.0,1.0,801.69,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,801.69,1.0,1,20,0.0,0.0,5
506247,364.0,1.0,194.14,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,194.14,1.0,1,12,0.0,0.0,2
587117,364.0,1.0,27.25,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,27.25,1.0,1,16,0.0,0.0,6
541791,364.0,1.0,344.83,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,344.83,1.0,1,3,0.0,0.0,2
480962,364.0,1.0,4636.11,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,4636.11,1.0,1,23,1.0,0.0,4
933641,364.0,1.0,1756.34,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1756.34,1.0,1,22,1.0,0.0,5
803450,217.0,2.0,4485.16,3.0,4.947812804955662,4.0,11.947812804955662,2,0,0,2.0,2.0,1,电子产品,2242.58,2.0,2,10,0.0,0.0,4
724754,364.0,1.0,5222.61,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,5222.61,1.0,1,8,0.0,0.0,1
438248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,4,0.0,0.0,3
815347,364.0,1.0,15218.86,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,15218.86,1.0,1,22,1.0,0.0,4
701858,364.0,1.0,3475.36,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,3475.36,1.0,1,12,0.0,0.0,1
586368,364.0,1.0,3071.01,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,电子产品,3071.01,1.0,1,19,0.0,0.0,4
321566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,11,0.0,0.0,3
576599,364.0,1.0,3231.54,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,电子产品,3231.54,1.0,1,19,0.0,0.0,4
489842,364.0,1.0,473.6,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,473.6,1.0,1,6,0.0,0.0,0
230347,364.0,1.0,294.27,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,294.27,1.0,1,6,0.0,0.0,2
263320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,1,1.0,0.0,3
157427,364.0,1.0,482.07,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,1,0.5,1.0,1,家居用品,482.07,1.0,2,22,0.5,0.0,0
331805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,13,0.0,0.0,3
270761,364.0,1.0,6111.11,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,6111.11,1.0,1,10,0.0,0.0,4
369022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,23,1.0,0.0,3
489652,364.0,1.0,3468.33,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家居用品,3468.33,1.0,1,0,1.0,0.0,0
961510,364.0,1.0,1138.8,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1138.8,1.0,1,8,0.0,0.0,5
408568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,15,0.0,0.0,3
629808,364.0,1.0,1387.07,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,1387.07,1.0,1,9,0.0,0.0,1
238704,364.0,1.0,200.89,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,200.89,1.0,1,6,0.0,0.0,2
510735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,21,0.0,0.0,3
196535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,11,0.0,0.0,3
804805,364.0,1.0,654.09,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,654.09,1.0,1,3,0.0,0.0,2
958518,364.0,1.0,25.71,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,25.71,1.0,1,16,0.0,0.0,6
924173,364.0,1.0,3350.13,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家居用品,3350.13,1.0,1,19,0.0,0.0,0
379191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,18,0.0,0.0,3
216202,364.0,1.0,182.79,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,182.79,1.0,1,18,0.0,0.0,2
570094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,10,0.0,0.0,3
738164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,2,1.0,0.0,3
287813,364.0,1.0,4445.78,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,4445.78,1.0,1,20,0.0,0.0,4
278954,364.0,1.0,168.65,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,168.65,1.0,1,0,1.0,0.0,2
634901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,7,0.0,0.0,3
859657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,9,0.0,0.0,3
887059,364.0,1.0,5112.33,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,5112.33,1.0,1,7,0.0,0.0,4
809394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,23,1.0,0.0,3
461614,364.0,1.0,918.12,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,918.12,1.0,1,20,0.0,0.0,5
433024,364.0,1.0,249.55,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,249.55,1.0,1,5,0.0,0.0,2
763874,364.0,1.0,4725.1,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,4725.1,1.0,1,13,0.0,0.0,1
674778,364.0,1.0,12820.21,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,12820.21,1.0,1,20,0.0,0.0,4
624180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,17,0.0,0.0,3
302751,364.0,1.0,2118.28,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,2118.28,1.0,1,15,0.0,0.0,5
555301,364.0,1.0,565.75,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,565.75,1.0,1,21,0.0,0.0,2
332450,364.0,1.0,4312.12,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家居用品,4312.12,1.0,1,9,0.0,0.0,0
371283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,9,0.0,0.0,3
969641,338.0,1.0,320.65,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,1,0.5,1.0,1,美妆护肤,320.65,1.0,2,5,0.0,0.5,5
527542,364.0,1.0,1985.69,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1985.69,1.0,1,4,0.0,0.0,5
901288,364.0,1.0,190.11,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,190.11,1.0,1,8,0.0,0.0,2
831872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,3,0.0,0.0,3
693111,364.0,1.0,77.1,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,77.1,1.0,1,13,0.0,0.0,6
579790,364.0,1.0,3102.3,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,电子产品,3102.3,1.0,1,3,0.0,0.0,4
351415,364.0,1.0,627.49,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,627.49,1.0,1,23,1.0,0.0,2
660225,364.0,1.0,95.8,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,95.8,1.0,1,18,0.0,0.0,6
940739,364.0,1.0,192.09,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,192.09,1.0,1,2,1.0,0.0,2
942865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,3,0.0,0.0,3
789068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,1,1.0,0.0,3
319757,364.0,1.0,1332.64,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,1332.64,1.0,1,11,0.0,0.0,1
602540,364.0,1.0,766.79,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,766.79,1.0,1,15,0.0,0.0,2
445514,84.0,2.0,8833.289999999999,1.0,4.947812804955662,4.0,9.947812804955662,2,0,0,2.0,2.0,1,家用电器,4416.6449999999995,1.0,2,20,0.0,0.0,1
567588,364.0,1.0,81.31,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,1,0.5,1.0,1,食品饮料,81.31,1.0,2,14,0.0,0.0,6
891981,364.0,1.0,2429.08,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,电子产品,2429.08,1.0,1,20,0.0,0.0,4
910362,364.0,1.0,1009.28,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1009.28,1.0,1,13,0.0,0.0,5
539331,364.0,1.0,4198.95,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,4198.95,1.0,1,12,0.0,0.0,4
214618,364.0,1.0,740.65,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,740.65,1.0,1,7,0.0,0.0,2
478318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,15,0.0,0.0,3
942715,335.0,2.0,4866.1900000000005,4.0,4.947812804955662,4.0,12.947812804955662,2,0,0,2.0,2.0,1,家居用品,2433.0950000000003,2.0,2,16,0.0,0.0,0
220508,364.0,1.0,4182.86,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,4182.86,1.0,1,13,0.0,0.0,4
820819,364.0,1.0,580.55,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,580.55,1.0,1,12,0.0,0.0,2
292125,364.0,1.0,163.54,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,163.54,1.0,1,20,0.0,0.0,2
206879,364.0,1.0,192.88,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,192.88,1.0,1,20,0.0,0.0,2
287611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,2,1.0,0.0,3
551214,364.0,1.0,987.45,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,987.45,1.0,1,11,0.0,0.0,5
243749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,19,0.0,0.0,3
751976,364.0,1.0,1608.22,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1608.22,1.0,1,13,0.0,0.0,5
523956,364.0,1.0,6784.06,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,6784.06,1.0,1,2,1.0,0.0,4
607272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,22,1.0,0.0,3
812316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,0,1.0,0.0,3
334887,364.0,1.0,332.78,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,332.78,1.0,1,23,1.0,0.0,2
448567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,20,0.0,0.0,3
594238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,15,0.0,0.0,3
808628,364.0,1.0,3904.75,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,3904.75,1.0,1,4,0.0,0.0,4
428797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,16,0.0,0.0,3
438430,364.0,1.0,6038.36,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,6038.36,1.0,1,17,0.0,0.0,1
108312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,4,0.0,0.0,3
835934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,8,0.0,0.0,3
158183,364.0,1.0,220.0,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,220.0,1.0,1,15,0.0,0.0,2
809239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,14,0.0,0.0,3
713113,364.0,1.0,3871.77,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家居用品,3871.77,1.0,1,20,0.0,0.0,0
445831,364.0,1.0,646.25,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,646.25,1.0,1,21,0.0,0.0,2
806716,235.0,2.0,7747.46,3.0,4.947812804955662,4.0,11.947812804955662,2,0,0,2.0,2.0,1,电子产品,3873.73,2.0,2,11,0.0,0.5,4
482017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,10,0.0,0.0,3
805581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,21,0.0,0.0,3
487157,364.0,1.0,22.37,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,22.37,1.0,1,18,0.0,0.0,6
234635,364.0,1.0,3391.85,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,电子产品,3391.85,1.0,1,18,0.0,0.0,4
789087,364.0,1.0,3514.28,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,3514.28,1.0,1,22,1.0,0.0,4
993916,364.0,1.0,313.66,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,313.66,1.0,1,10,0.0,0.0,5
154550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,12,0.0,0.0,3
676050,364.0,1.0,5736.71,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,5736.71,1.0,1,12,0.0,0.0,4
598509,87.0,1.0,260.43,2.0,2.9487038058466633,1.0,5.948703805846663,1,0,1,0.5,1.0,1,服装鞋帽,260.43,1.0,2,23,0.5,0.5,2
762277,6.0,2.0,195.37,1.0,4.947812804955662,1.0,6.947812804955662,2,0,0,2.0,2.0,1,服装鞋帽,97.685,2.0,2,7,0.0,0.0,2
591042,364.0,1.0,6714.06,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,6714.06,1.0,1,22,1.0,0.0,1
655916,364.0,1.0,839.77,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,839.77,1.0,1,21,0.0,0.0,2
311687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,23,1.0,0.0,3
531710,363.0,1.0,1109.23,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1109.23,1.0,1,10,0.0,0.0,5
449222,137.0,2.0,120.44,2.0,4.947812804955662,1.0,7.947812804955662,2,1,0,2.0,1.0,1,食品饮料,60.22,1.0,3,6,0.3333333333333333,0.0,6
928295,363.0,1.0,1032.44,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1032.44,1.0,1,7,0.0,0.0,5
